,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
322,07X224,P.S. / I.S. 224,84,318,377,4.9,5.4,5.4,6.7
323,07X277,P.S. 277,,,0,,,,
324,07X296,South Bronx Academy for Applied Media,97,262,269,6.2,6.3,7.1,7.9
325,07X298,Academy of Public Relations,99,238,240,7.1,6.4,7.2,7.9
326,07X321,Crotona Academy High School,81,91,113,8.4,7.9,8.2,8.6
327,07X334,International Community High School,87,308,354,7.3,6.5,7,7.5
328,07X343,Academy of Applied Mathematics and Technology,94,222,235,7.7,7.1,7.7,8.1
329,07X369,Young Leaders Elementary School,,,0,,,,
330,07X379,Jill Chaifetz Transfer High School,61,115,189,7.1,6.7,7.1,7.6
331,07X381,Bronx Haven High School,74,89,120,7.7,6.8,7.9,8.3
332,07X385,Performance School,,,0,,,,
333,07X427,Community School for Social Justice,95,299,315,7.2,6.7,6.8,7.5
334,07X473,Mott Haven Village Preparatory High School,93,319,344,6.9,5.9,6.7,7.7
335,07X495,University Heights Secondary School,91,393,431,7.2,6,6.5,7.4
336,07X500,Hostos-Lincoln Academy of Science,83,492,591,6.8,5.9,6.6,7.6
337,07X520,Foreign Language Academy of Global Studies,95,343,361,6,5.7,5.7,6.8
338,07X527,Bronx Leadership Academy II High School,25,109,439,6.7,6.2,6.8,7.6
339,07X547,New Explorers High School,95,332,349,7.7,7.6,7.7,7.7
340,07X548,Urban Assembly School for Careers in Sports,75,313,420,7.2,6,6.8,7.7
341,07X551,Bronx Academy of Letters,72,399,554,6.3,6.2,6.9,7.7
342,07X600,Alfred E. Smith Career and Technical Education Hig,77,683,890,5.7,5.5,5.8,6.6
343,07X655,Samuel Gompers Career and Technical Education High,61,468,762,6,5.7,6.2,6.9
344,07X670,Health Opportunities High School,77,429,557,6.3,5.5,6.3,7.3
345,08X014,P.S. X014 Senator John Calandra,,,0,,,,
346,08X036,P.S. 036 Unionport,,,0,,,,
347,08X048,P.S. 048 Joseph R. Drake,,,0,,,,
348,08X062,P.S. 062 Inocensio Casanova,,,0,,,,
349,08X069,P.S. 069 The New Vision School,,,0,,,,
350,08X071,P.S. 071 Rose E. Scala,3,13,454,7.1,6.6,7.6,7.9
